id_amc,ql,rendimento_kg_ha,tipologia,ano
11104,0.0,0.0,Não especializado,1985
11105,0.0,0.0,Não especializado,1985
11106,0.0,0.0,Não especializado,1985
11107,7.255985304506046,1950.0,Alta espec. / Alta produt.,1985
11108,0.0,0.0,Não especializado,1985
11109,0.0,0.0,Não especializado,1985
1111,1.1599939037312044,1474.2621015348288,Baixa espec. / Alta produt.,1985
11110,0.0,0.0,Não especializado,1985
11111,0.0,0.0,Não especializado,1985
11112,0.0,0.0,Não especializado,1985
11113,0.0,0.0,Não especializado,1985
11114,0.0,0.0,Não especializado,1985
11115,0.0,0.0,Não especializado,1985
11116,0.0,0.0,Não especializado,1985
11117,0.0,0.0,Não especializado,1985
11118,0.0,0.0,Não especializado,1985
11119,0.0,0.0,Não especializado,1985
1112,0.0,0.0,Não especializado,1985
11120,0.0,0.0,Não especializado,1985
11121,0.0,0.0,Não especializado,1985
11122,0.0,0.0,Não especializado,1985
11123,0.0,0.0,Não especializado,1985
11124,0.0,0.0,Não especializado,1985
11125,0.0,0.0,Não especializado,1985
11126,0.0,0.0,Não especializado,1985
11127,1.2035766746136032,2200.0,Baixa espec. / Alta produt.,1985
11128,0.0,0.0,Não especializado,1985
11129,0.0,0.0,Não especializado,1985
1113,0.0,0.0,Não especializado,1985
11130,0.0,0.0,Não especializado,1985
11131,0.0,0.0,Não especializado,1985
11132,0.0,0.0,Não especializado,1985
11133,0.0,0.0,Não especializado,1985
11134,10.493084253338017,1950.0,Alta espec. / Alta produt.,1985
11135,0.0,0.0,Não especializado,1985
11136,12.196187130137346,1050.0,Alta espec. / Alta produt.,1985
11137,0.0,0.0,Não especializado,1985
11138,0.0,0.0,Não especializado,1985
11139,0.0,0.0,Não especializado,1985
1114,0.0,0.0,Não especializado,1985
11140,0.0,0.0,Não especializado,1985
11141,0.0,0.0,Não especializado,1985
11142,0.0,0.0,Não especializado,1985
11143,0.0,0.0,Não especializado,1985
11144,0.0,0.0,Não especializado,1985
11145,0.0,0.0,Não especializado,1985
11146,0.0,0.0,Não especializado,1985
11147,0.0,0.0,Não especializado,1985
11148,0.0,0.0,Não especializado,1985
11149,0.0,0.0,Não especializado,1985
1115,0.0,0.0,Não especializado,1985
11150,0.0,0.0,Não especializado,1985
11151,0.0,0.0,Não especializado,1985
11152,0.0,0.0,Não especializado,1985
11153,0.0,0.0,Não especializado,1985
11154,0.0,0.0,Não especializado,1985
11155,7.2262476598154475,1800.0,Alta espec. / Alta produt.,1985
11156,0.0,0.0,Não especializado,1985
11157,0.0,0.0,Não especializado,1985
11158,0.0,0.0,Não especializado,1985
11159,0.0,0.0,Não especializado,1985
1116,0.0,0.0,Não especializado,1985
11160,0.0,0.0,Não especializado,1985
11161,0.0,0.0,Não especializado,1985
11162,0.0,0.0,Não especializado,1985
11163,0.0,0.0,Não especializado,1985
11164,0.0,0.0,Não especializado,1985
11165,0.0,0.0,Não especializado,1985
11166,0.0,0.0,Não especializado,1985
