id_amc,ano,area_colhida_ha,total_area_colhida_ha,QL
10044,2024,0.0,347.0,0.0
10045,1985,500.0,5528.0,1.807433387175258
10045,1996,298.0,1303.0,12.339645249106583
10045,2005,10.0,1185.0,0.37820572637163596
10045,2024,0.0,608.0,0.0
10046,1985,0.0,3146.0,0.0
10046,1996,80.0,4399.0,0.9812210377029481
10046,2005,0.0,1307.0,0.0
10046,2024,0.0,925.0,0.0
10047,1985,10939.0,35370.0,6.180205168771868
10047,1996,2580.0,40963.0,3.3982770029436913
10047,2005,4265.0,25092.0,7.6178112395401225
10047,2024,2605.0,20805.0,5.697477929969645
10048,1985,70.0,5049.0,0.2770467116265945
10048,1996,60.0,7715.0,0.41961030572151026
10048,2005,0.0,3757.0,0.0
10048,2024,0.0,2190.0,0.0
10049,1985,0.0,1464.0,0.0
10049,1996,0.0,602.0,0.0
10049,2005,0.0,640.0,0.0
10049,2024,0.0,1333.0,0.0
1005,1985,0.0,2532.0,0.0
1005,1996,4.0,2416.0,0.08932929107730275
1005,2005,1.0,14370.0,0.003118815488868397
1005,2024,0.0,3255.0,0.0
10050,1985,0.0,17582.0,0.0
10050,1996,331.0,4129.0,4.325277110520386
10050,2005,450.0,20990.0,0.9608299361013573
10050,2024,0.0,3374.0,0.0
10051,1985,100.0,3373.0,0.5924394760927854
10051,1996,10.0,1399.0,0.3856675611915001
10051,2005,40.0,742.0,2.4160311900290496
10051,2024,0.0,2158.0,0.0
10052,1985,200.0,6311.0,0.6332747117290335
10052,1996,680.0,8090.0,4.53514541795671
10052,2005,380.0,9957.0,1.7104151710871518
10052,2024,0.0,5283.0,0.0
10053,1985,0.0,1490.0,0.0
10053,1996,0.0,440.0,0.0
10053,2005,0.0,970.0,0.0
10053,2024,0.0,185.0,0.0
10054,1985,50.0,3233.0,0.30904706972795626
10054,1996,0.0,3955.0,0.0
10054,2005,0.0,2177.0,0.0
10054,2024,0.0,245.0,0.0
10055,1985,5.0,1152.0,0.08673169934292384
10055,1996,6.0,377.0,0.8586985434062206
10055,2005,50.0,476.0,4.707707833512486
10055,2024,0.0,1156.0,0.0
10056,1985,3878.0,12007.0,6.454069303235465
10056,1996,7400.0,11071.0,36.06414952570792
10056,2005,3000.0,4310.0,31.19539111951661
10056,2024,20.0,2790.0,0.32618834288353243
10057,1985,0.0,26.0,0.0
10057,1996,0.0,164.0,0.0
10057,2005,0.0,146.0,0.0
10057,2024,0.0,80.0,0.0
10058,1985,0.0,3021.0,0.0
10058,1996,0.0,3469.0,0.0
10058,2005,0.0,706.0,0.0
10058,2024,0.0,53.0,0.0
10059,1985,0.0,2679.0,0.0
10059,1996,0.0,4411.0,0.0
10059,2005,0.0,6863.0,0.0
10059,2024,0.0,2996.0,0.0
1006,1985,0.0,590.0,0.0
1006,1996,0.0,556.0,0.0
1006,2005,0.0,670.0,0.0
1006,2024,0.0,325.0,0.0
10060,1985,0.0,1598.0,0.0
10060,1996,0.0,3086.0,0.0
10060,2005,0.0,3945.0,0.0
10060,2024,0.0,894.0,0.0
10061,1985,90.0,6636.0,0.2710169556321381
10061,1996,600.0,3055.0,10.596705429268253
10061,2005,70.0,4495.0,0.6979347052842537
10061,2024,21.0,1486.0,0.6430476113575425
10062,1985,0.0,7432.0,0.0
10062,1996,0.0,977.0,0.0
10062,2005,0.0,3263.0,0.0
10062,2024,0.0,415.0,0.0
10063,1985,2460.0,12339.0,3.983964622771679
10063,1996,1240.0,5762.0,11.611257522606156
10063,2005,900.0,17232.0,2.3407405244623365
10063,2024,50.0,3394.0,0.6703487600508659
10064,1985,0.0,19773.0,0.0
10064,1996,0.0,30594.0,0.0
10064,2005,0.0,50827.0,0.0
10064,2024,0.0,10695.0,0.0
10065,1985,0.0,478.0,0.0
10065,1996,0.0,52.0,0.0
10065,2005,0.0,35.0,0.0
